session_id,user_id,group,session_start,session_length,watched,watch_completion,clicks_before_watch,device_type,content_type,genre,time_of_day,bounce_reason
78,855,B,2024-02-10 21:00:00,5.0,1,1,2,Mobile,Series,Thriller,Night,
79,408,A,2024-02-10 03:00:00,10.18,1,0,1,Mobile,Series,Horror,Morning,
80,889,A,2024-01-18 18:00:00,11.13,1,1,1,Mobile,Series,Drama,Evening,
81,56,A,2024-01-26 07:00:00,15.81,1,0,0,TV,Series,Comedy,Morning,
82,518,B,2024-03-06 09:00:00,21.32,1,0,1,Mobile,Series,Thriller,Morning,
83,813,B,2024-02-14 11:00:00,22.04,1,1,2,Laptop,Series,Horror,Morning,
84,728,A,2024-02-29 00:00:00,8.04,1,1,1,Mobile,Series,Drama,Morning,
85,915,B,2024-03-17 22:00:00,14.64,1,1,0,Mobile,Series,Horror,Night,
86,310,B,2024-03-25 07:00:00,12.54,0,0,2,Mobile,Movie,Horror,Morning,UI Confusion
87,921,A,2024-01-21 06:00:00,17.47,0,0,2,Laptop,Movie,Action,Morning,Preview Too Short
88,859,A,2024-01-07 17:00:00,7.33,0,0,0,TV,Movie,Thriller,Evening,Playback Error
89,340,A,2024-01-17 08:00:00,14.46,0,0,4,Mobile,Movie,Drama,Morning,No Interest
90,537,B,2024-01-14 01:00:00,21.11,0,0,1,Laptop,Movie,Comedy,Morning,Playback Error
91,771,A,2024-03-29 15:00:00,8.44,1,0,2,Mobile,Series,Comedy,Afternoon,
92,738,A,2024-02-03 12:00:00,10.69,1,0,3,Mobile,Series,Thriller,Afternoon,
93,646,A,2024-03-03 07:00:00,12.29,1,1,1,Mobile,Movie,Drama,Morning,
94,521,A,2024-01-05 19:00:00,6.83,1,1,0,Mobile,Series,Sci-Fi,Evening,
95,79,B,2024-01-11 02:00:00,12.41,1,1,1,Mobile,Series,Sci-Fi,Morning,
96,485,A,2024-02-21 06:00:00,10.74,0,0,1,Mobile,Series,Action,Morning,No Interest
97,758,B,2024-02-24 16:00:00,7.84,1,1,1,Mobile,Series,Drama,Afternoon,
98,493,B,2024-03-24 04:00:00,8.42,1,1,2,Mobile,Movie,Horror,Morning,
99,979,B,2024-01-07 18:00:00,16.39,1,0,4,Mobile,Series,Drama,Evening,
100,305,A,2024-01-17 12:00:00,9.46,1,0,1,Laptop,Movie,Thriller,Afternoon,
101,973,A,2024-01-28 02:00:00,13.78,1,1,3,Laptop,Series,Comedy,Morning,
102,75,B,2024-02-28 07:00:00,10.7,0,0,1,Laptop,Movie,Horror,Morning,Preview Too Short
103,788,B,2024-01-07 00:00:00,15.61,1,1,2,TV,Series,Sci-Fi,Morning,
104,731,B,2024-02-19 03:00:00,11.11,1,1,0,TV,Movie,Action,Morning,
105,165,A,2024-01-24 19:00:00,17.81,0,0,5,TV,Movie,Action,Evening,Preview Too Short
106,850,B,2024-01-08 14:00:00,13.55,1,0,0,Mobile,Series,Drama,Afternoon,
107,387,B,2024-01-01 01:00:00,11.9,1,0,0,Mobile,Movie,Sci-Fi,Morning,
108,446,A,2024-01-08 21:00:00,17.41,1,0,3,Mobile,Series,Horror,Night,
109,386,A,2024-01-04 20:00:00,5.0,1,1,5,Mobile,Movie,Thriller,Evening,
110,935,B,2024-02-06 07:00:00,22.54,1,0,1,Mobile,Movie,Action,Morning,
111,713,A,2024-01-01 23:00:00,14.78,1,0,3,TV,Movie,Action,Night,
112,132,B,2024-02-24 03:00:00,25.54,0,0,0,Laptop,Movie,Drama,Morning,Playback Error
113,582,B,2024-03-19 17:00:00,13.57,0,0,2,Laptop,Series,Action,Evening,Preview Too Short
114,182,A,2024-01-07 07:00:00,10.18,0,0,1,TV,Series,Thriller,Morning,No Interest
115,470,B,2024-03-10 19:00:00,10.1,1,1,0,Mobile,Movie,Comedy,Evening,
116,984,A,2024-03-26 22:00:00,17.21,0,0,1,Mobile,Movie,Comedy,Night,Playback Error
117,611,B,2024-01-17 05:00:00,13.94,1,1,1,TV,Series,Thriller,Morning,
118,398,A,2024-02-13 01:00:00,15.66,0,0,1,Laptop,Movie,Action,Morning,Preview Too Short
119,114,A,2024-03-20 00:00:00,11.63,0,0,1,Mobile,Series,Thriller,Morning,Playback Error
120,586,B,2024-02-15 12:00:00,8.84,1,1,1,Mobile,Movie,Thriller,Afternoon,
121,452,B,2024-03-24 00:00:00,10.43,1,0,1,TV,Series,Action,Morning,
122,438,A,2024-01-27 00:00:00,14.05,1,0,2,Mobile,Movie,Drama,Morning,
123,975,B,2024-03-20 13:00:00,16.23,0,0,0,TV,Movie,Horror,Afternoon,UI Confusion
124,154,A,2024-02-12 06:00:00,11.46,1,0,2,TV,Series,Thriller,Morning,
125,617,A,2024-02-20 11:00:00,12.75,1,1,3,Mobile,Movie,Thriller,Morning,
126,56,B,2024-01-02 03:00:00,16.69,1,0,1,Mobile,Series,Thriller,Morning,
127,114,A,2024-03-28 07:00:00,9.11,1,0,3,Mobile,Movie,Sci-Fi,Morning,
128,366,B,2024-01-17 20:00:00,13.41,1,0,2,TV,Series,Action,Evening,
129,818,B,2024-02-14 17:00:00,12.65,1,1,1,TV,Series,Drama,Evening,
130,529,A,2024-01-09 12:00:00,5.78,1,0,0,Mobile,Series,Comedy,Afternoon,
131,79,A,2024-02-11 18:00:00,13.21,1,0,3,Mobile,Series,Action,Evening,
132,273,B,2024-01-07 13:00:00,14.7,1,1,1,TV,Movie,Drama,Afternoon,
133,302,B,2024-01-16 19:00:00,11.78,1,1,2,Laptop,Series,Horror,Evening,
134,336,A,2024-03-03 02:00:00,11.48,1,1,1,Laptop,Movie,Drama,Morning,
135,436,B,2024-01-28 15:00:00,10.46,1,1,3,Mobile,Series,Sci-Fi,Afternoon,
136,996,B,2024-03-24 19:00:00,5.0,0,0,2,TV,Series,Thriller,Evening,Preview Too Short
137,558,A,2024-02-21 21:00:00,10.99,1,1,3,Mobile,Series,Drama,Night,
138,734,A,2024-01-11 14:00:00,16.38,1,0,3,TV,Movie,Sci-Fi,Afternoon,
139,192,A,2024-01-11 05:00:00,13.26,0,0,1,Mobile,Movie,Sci-Fi,Morning,Playback Error
140,618,B,2024-02-03 08:00:00,21.35,1,0,1,Mobile,Movie,Horror,Morning,
141,522,B,2024-03-25 21:00:00,16.32,0,0,1,Mobile,Series,Thriller,Night,UI Confusion
142,132,B,2024-01-12 08:00:00,16.17,1,1,2,Laptop,Movie,Action,Morning,
143,2,B,2024-02-23 17:00:00,17.27,1,0,1,Mobile,Movie,Horror,Evening,
144,981,B,2024-02-13 21:00:00,16.38,1,0,3,Laptop,Series,Sci-Fi,Night,
145,556,B,2024-03-25 06:00:00,20.57,1,0,1,TV,Series,Horror,Morning,
146,984,A,2024-01-27 09:00:00,13.44,1,0,0,TV,Series,Thriller,Morning,
147,110,A,2024-01-31 06:00:00,8.06,1,0,0,Mobile,Series,Sci-Fi,Morning,
148,232,A,2024-01-18 13:00:00,12.79,1,0,1,Mobile,Series,Sci-Fi,Afternoon,
149,766,B,2024-03-22 04:00:00,11.99,1,1,4,Mobile,Series,Comedy,Morning,
150,862,A,2024-01-08 17:00:00,6.35,0,0,1,Mobile,Series,Sci-Fi,Evening,UI Confusion
151,112,A,2024-01-02 10:00:00,11.27,0,0,1,Mobile,Movie,Drama,Morning,Playback Error
152,668,B,2024-03-28 11:00:00,12.26,1,1,0,Laptop,Series,Thriller,Morning,
153,16,A,2024-02-01 02:00:00,15.85,1,1,3,Mobile,Series,Drama,Morning,
154,255,A,2024-03-25 15:00:00,11.05,0,0,2,Laptop,Movie,Sci-Fi,Afternoon,UI Confusion
155,237,A,2024-01-09 11:00:00,10.84,1,0,3,Mobile,Series,Thriller,Morning,
156,837,B,2024-02-27 13:00:00,12.55,1,1,0,TV,Series,Sci-Fi,Afternoon,
157,75,B,2024-03-23 21:00:00,16.24,1,1,2,Mobile,Movie,Sci-Fi,Night,
158,307,B,2024-03-01 20:00:00,8.99,1,1,3,TV,Movie,Action,Evening,
159,658,A,2024-03-09 01:00:00,16.58,1,0,2,Laptop,Series,Drama,Morning,
160,746,A,2024-02-08 16:00:00,8.89,0,0,2,Laptop,Series,Horror,Afternoon,No Interest
161,294,A,2024-01-31 14:00:00,12.54,1,1,0,Laptop,Movie,Horror,Afternoon,
162,168,B,2024-02-05 02:00:00,5.0,1,1,5,Mobile,Series,Horror,Morning,
163,214,A,2024-02-13 22:00:00,11.76,0,0,0,Mobile,Series,Drama,Night,No Interest
164,949,B,2024-01-30 12:00:00,18.51,0,0,2,Mobile,Movie,Comedy,Afternoon,No Interest
165,206,B,2024-03-09 09:00:00,18.57,1,1,0,Mobile,Movie,Sci-Fi,Morning,
166,522,B,2024-01-30 20:00:00,12.23,1,1,1,TV,Series,Sci-Fi,Evening,
167,49,A,2024-03-02 10:00:00,14.7,0,0,1,Laptop,Movie,Horror,Morning,UI Confusion
168,804,B,2024-02-23 04:00:00,13.47,1,1,4,TV,Series,Drama,Morning,
169,632,A,2024-01-25 12:00:00,9.3,1,0,1,Laptop,Movie,Comedy,Afternoon,
170,998,A,2024-03-17 16:00:00,5.71,0,0,1,Mobile,Movie,Horror,Afternoon,Preview Too Short
171,201,A,2024-01-19 16:00:00,14.84,1,1,3,Mobile,Series,Drama,Afternoon,
172,837,A,2024-01-30 11:00:00,19.27,1,1,2,Mobile,Movie,Sci-Fi,Morning,
173,196,B,2024-01-30 23:00:00,11.93,0,0,1,Laptop,Series,Action,Night,Preview Too Short
174,611,A,2024-03-16 19:00:00,10.81,1,0,3,Laptop,Movie,Sci-Fi,Evening,
175,321,A,2024-01-18 15:00:00,5.13,0,0,0,Laptop,Series,Horror,Afternoon,No Interest
176,928,A,2024-01-18 05:00:00,12.13,1,1,2,TV,Series,Drama,Morning,
177,955,A,2024-03-18 21:00:00,13.03,1,1,4,TV,Series,Comedy,Night,
178,159,A,2024-01-07 11:00:00,8.12,0,0,1,TV,Movie,Action,Morning,No Interest
179,133,B,2024-02-03 05:00:00,8.72,0,0,2,Laptop,Movie,Comedy,Morning,No Interest
180,486,A,2024-01-03 21:00:00,5.0,1,0,1,TV,Series,Comedy,Night,
181,854,B,2024-01-10 06:00:00,13.88,0,0,0,Mobile,Series,Drama,Morning,Playback Error
182,529,B,2024-01-04 23:00:00,10.93,0,0,2,Mobile,Series,Horror,Night,Preview Too Short
183,483,A,2024-01-13 05:00:00,8.45,1,0,1,Mobile,Series,Horror,Morning,
184,785,B,2024-02-12 21:00:00,19.44,1,0,1,Mobile,Series,Drama,Night,
185,367,A,2024-02-26 07:00:00,18.8,1,0,3,Laptop,Series,Thriller,Morning,
186,886,B,2024-02-03 02:00:00,12.39,1,0,1,Laptop,Movie,Thriller,Morning,
187,712,A,2024-01-12 06:00:00,5.0,0,0,1,Mobile,Series,Action,Morning,Preview Too Short
188,657,A,2024-03-24 14:00:00,11.67,1,1,0,TV,Series,Horror,Afternoon,
189,764,A,2024-03-04 09:00:00,9.61,1,1,1,Laptop,Movie,Sci-Fi,Morning,
190,591,B,2024-01-28 01:00:00,22.39,1,1,0,Mobile,Series,Comedy,Morning,
191,350,A,2024-01-07 09:00:00,15.56,1,0,2,Mobile,Movie,Thriller,Morning,
192,559,A,2024-02-23 18:00:00,13.44,0,0,4,Laptop,Series,Sci-Fi,Evening,Preview Too Short
193,772,B,2024-03-05 02:00:00,18.32,1,0,3,TV,Series,Comedy,Morning,
194,291,A,2024-03-04 09:00:00,15.77,0,0,3,Mobile,Series,Drama,Morning,UI Confusion
195,777,B,2024-03-30 05:00:00,16.7,1,1,3,TV,Movie,Sci-Fi,Morning,
196,255,B,2024-02-16 12:00:00,13.36,0,0,2,Mobile,Movie,Drama,Afternoon,Playback Error
197,208,A,2024-03-11 05:00:00,12.03,1,1,1,TV,Series,Action,Morning,
198,533,B,2024-01-09 14:00:00,20.92,1,1,1,TV,Movie,Thriller,Afternoon,
199,606,B,2024-02-17 05:00:00,13.04,1,1,2,Mobile,Series,Drama,Morning,
200,159,B,2024-03-12 22:00:00,15.15,1,1,3,Mobile,Series,Drama,Night,
201,221,A,2024-03-07 05:00:00,15.94,1,1,3,Mobile,Movie,Horror,Morning,
202,637,B,2024-03-05 00:00:00,9.61,1,1,2,Laptop,Movie,Drama,Morning,
203,209,A,2024-01-26 12:00:00,7.22,1,0,1,Mobile,Series,Sci-Fi,Afternoon,
204,449,B,2024-01-11 00:00:00,15.14,0,0,3,Laptop,Series,Action,Morning,Preview Too Short
205,730,A,2024-01-20 17:00:00,5.34,1,1,3,Laptop,Series,Drama,Evening,
206,629,B,2024-02-24 15:00:00,12.83,0,0,2,TV,Series,Action,Afternoon,No Interest
207,595,A,2024-03-20 08:00:00,6.47,0,0,3,Mobile,Series,Thriller,Morning,No Interest
208,534,B,2024-03-20 18:00:00,5.11,1,1,1,Mobile,Movie,Action,Evening,
209,73,A,2024-03-22 15:00:00,16.36,1,0,4,Mobile,Movie,Comedy,Afternoon,
210,388,B,2024-02-01 09:00:00,18.8,1,0,0,Laptop,Series,Thriller,Morning,
211,171,A,2024-02-11 14:00:00,10.08,1,0,2,Mobile,Movie,Horror,Afternoon,
212,861,B,2024-03-02 09:00:00,23.17,1,0,1,Laptop,Movie,Thriller,Morning,
213,320,B,2024-02-21 04:00:00,13.02,0,0,2,Mobile,Series,Action,Morning,Playback Error
214,812,B,2024-03-16 02:00:00,15.74,1,0,2,Mobile,Series,Thriller,Morning,
215,474,A,2024-02-10 11:00:00,11.2,0,0,4,Mobile,Series,Sci-Fi,Morning,Playback Error
216,31,B,2024-03-29 01:00:00,10.75,1,0,1,Mobile,Series,Comedy,Morning,
217,997,B,2024-02-11 11:00:00,16.18,0,0,3,TV,Series,Action,Morning,UI Confusion
218,484,B,2024-02-13 21:00:00,5.31,0,0,1,Laptop,Series,Horror,Night,UI Confusion
219,699,B,2024-01-19 04:00:00,10.5,0,0,1,TV,Series,Action,Morning,Preview Too Short
220,719,B,2024-03-02 18:00:00,18.59,0,0,0,Mobile,Series,Comedy,Evening,Playback Error
221,946,B,2024-01-05 21:00:00,9.38,1,1,1,Mobile,Movie,Thriller,Night,
222,975,A,2024-01-26 15:00:00,10.32,0,0,1,Laptop,Movie,Horror,Afternoon,UI Confusion
223,551,A,2024-01-29 05:00:00,15.26,1,1,4,Mobile,Movie,Horror,Morning,
224,974,B,2024-01-10 20:00:00,14.51,1,1,4,TV,Movie,Action,Evening,
225,695,A,2024-03-10 22:00:00,16.67,0,0,2,Mobile,Series,Comedy,Night,Playback Error
226,704,A,2024-03-03 17:00:00,11.58,1,0,3,Mobile,Movie,Comedy,Evening,
227,524,A,2024-03-20 09:00:00,6.48,1,0,5,Mobile,Movie,Comedy,Morning,
228,945,B,2024-01-25 15:00:00,12.16,1,0,3,TV,Series,Horror,Afternoon,
229,833,A,2024-02-14 16:00:00,17.14,1,0,3,TV,Series,Drama,Afternoon,
230,639,A,2024-01-09 20:00:00,9.5,0,0,3,TV,Series,Sci-Fi,Evening,Preview Too Short
231,69,A,2024-01-02 06:00:00,12.92,1,0,2,Laptop,Movie,Comedy,Morning,
232,101,A,2024-02-10 02:00:00,11.81,0,0,5,TV,Series,Horror,Morning,UI Confusion
233,513,A,2024-02-22 19:00:00,8.99,1,0,3,Mobile,Series,Comedy,Evening,
234,415,A,2024-03-16 12:00:00,12.78,1,1,0,Mobile,Series,Thriller,Afternoon,
235,877,B,2024-03-17 17:00:00,13.06,1,0,1,Laptop,Series,Thriller,Evening,
236,527,B,2024-01-18 06:00:00,12.37,0,0,1,TV,Series,Action,Morning,Playback Error
237,90,A,2024-01-17 22:00:00,7.27,0,0,2,Mobile,Movie,Sci-Fi,Night,UI Confusion
238,977,B,2024-01-18 08:00:00,12.99,1,1,2,Mobile,Series,Action,Morning,
239,929,B,2024-01-11 15:00:00,16.92,1,1,1,Mobile,Series,Sci-Fi,Afternoon,
240,218,A,2024-01-12 02:00:00,9.4,1,0,0,Mobile,Series,Horror,Morning,
241,753,A,2024-01-03 19:00:00,8.56,1,0,2,Laptop,Movie,Horror,Evening,
242,966,A,2024-01-26 13:00:00,8.76,0,0,1,Laptop,Movie,Sci-Fi,Afternoon,No Interest
243,182,A,2024-02-27 15:00:00,14.51,1,1,0,Mobile,Series,Drama,Afternoon,
244,24,A,2024-01-09 02:00:00,10.88,1,1,1,Mobile,Movie,Thriller,Morning,
245,320,B,2024-02-06 14:00:00,16.35,1,1,1,Mobile,Movie,Comedy,Afternoon,
246,541,B,2024-02-07 22:00:00,16.48,0,0,1,Laptop,Series,Thriller,Night,Preview Too Short
247,602,A,2024-02-25 10:00:00,9.75,1,0,4,Mobile,Movie,Horror,Morning,
248,295,A,2024-01-23 12:00:00,13.92,1,1,1,Mobile,Series,Thriller,Afternoon,
249,69,B,2024-02-12 01:00:00,8.35,0,0,2,Mobile,Movie,Action,Morning,No Interest
250,214,B,2024-03-21 06:00:00,13.04,1,0,0,Mobile,Movie,Sci-Fi,Morning,
251,222,B,2024-02-09 14:00:00,13.11,1,0,0,Mobile,Series,Thriller,Afternoon,
252,975,A,2024-03-11 22:00:00,10.5,1,0,1,TV,Series,Drama,Night,
253,981,B,2024-01-30 07:00:00,6.06,1,0,4,TV,Movie,Action,Morning,
254,103,A,2024-02-22 17:00:00,11.3,1,0,2,Mobile,Series,Horror,Evening,
255,486,B,2024-01-20 18:00:00,14.19,0,0,1,Mobile,Movie,Thriller,Evening,Playback Error
256,380,A,2024-03-22 08:00:00,5.0,1,0,2,Laptop,Movie,Comedy,Morning,
257,816,A,2024-01-19 20:00:00,11.7,1,1,1,Mobile,Movie,Drama,Evening,
258,635,A,2024-03-16 21:00:00,8.57,1,1,2,Mobile,Series,Thriller,Night,
259,774,A,2024-01-19 00:00:00,16.79,0,0,5,TV,Movie,Sci-Fi,Morning,Preview Too Short
260,500,A,2024-01-09 23:00:00,16.98,1,0,0,Mobile,Series,Thriller,Night,
261,87,A,2024-02-04 16:00:00,16.04,1,1,2,Laptop,Movie,Comedy,Afternoon,
262,302,B,2024-01-17 00:00:00,9.16,1,1,0,Mobile,Movie,Drama,Morning,
263,687,B,2024-03-05 19:00:00,15.15,1,0,3,Laptop,Movie,Sci-Fi,Evening,
264,825,A,2024-02-18 10:00:00,11.41,0,0,2,Mobile,Movie,Action,Morning,No Interest
265,630,B,2024-02-04 12:00:00,11.17,1,0,0,Mobile,Series,Drama,Afternoon,
266,180,A,2024-01-07 22:00:00,14.09,1,1,4,TV,Movie,Drama,Night,
267,231,B,2024-01-20 09:00:00,9.94,1,1,4,TV,Movie,Action,Morning,
268,140,A,2024-02-23 04:00:00,9.37,0,0,3,Laptop,Movie,Sci-Fi,Morning,UI Confusion
269,668,A,2024-02-21 00:00:00,10.97,0,0,3,Laptop,Series,Action,Morning,No Interest
270,337,B,2024-01-20 15:00:00,7.55,1,1,3,Mobile,Series,Sci-Fi,Afternoon,
271,145,B,2024-03-19 08:00:00,14.52,1,0,1,Mobile,Series,Action,Morning,
272,935,B,2024-02-23 04:00:00,6.06,1,1,2,TV,Series,Comedy,Morning,
273,210,B,2024-02-28 15:00:00,20.35,1,0,4,Laptop,Movie,Thriller,Afternoon,
274,438,B,2024-02-02 21:00:00,16.61,1,0,1,Mobile,Series,Comedy,Night,
275,940,B,2024-03-24 01:00:00,24.13,0,0,0,Laptop,Movie,Horror,Morning,UI Confusion
276,44,B,2024-02-28 16:00:00,13.92,1,1,1,Mobile,Series,Comedy,Afternoon,
277,228,A,2024-03-07 17:00:00,12.99,1,1,3,Mobile,Movie,Comedy,Evening,
278,181,A,2024-02-08 16:00:00,12.31,1,1,0,Mobile,Series,Comedy,Afternoon,
279,881,B,2024-01-07 09:00:00,9.99,0,0,1,TV,Movie,Action,Morning,UI Confusion
280,605,B,2024-02-26 12:00:00,17.15,1,1,1,Laptop,Series,Drama,Afternoon,
281,535,A,2024-03-15 01:00:00,14.08,1,0,2,TV,Series,Action,Morning,
282,871,B,2024-02-13 18:00:00,15.7,0,0,1,Mobile,Movie,Sci-Fi,Evening,Preview Too Short
283,614,B,2024-01-30 06:00:00,17.19,1,1,3,TV,Movie,Sci-Fi,Morning,
